basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,30,00,46.25,642.76,4242.5625
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,30,06,46.25,718.78,4524.1875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,30,12,46.25,571.98,4362.5
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,06,30,18,55.5,675.38,10043.1875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,07,01,00,55.5,847.19,8023.6875
NA,North Atlantic,TD,Tropical Depression,AL012014,2014,07,01,06,55.5,684.05,9894.8125
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,06,06,46.25,647.17,16961.125
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,06,12,46.25,561.44,25167.875
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,06,18,46.25,659.46,28297.1875
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,07,00,55.5,661.91,15696.4375
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,10,18,55.5,280.49,8639.5
NA,North Atlantic,TD,Tropical Depression,AL012015,2015,05,11,00,55.5,437.88,5769.1875
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,25,12,55.5,898.69,39559.0625
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,25,18,55.5,788.67,35303.0625
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,26,00,55.5,763.6,37427.1875
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,26,06,55.5,741.95,32959.625
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,26,12,55.5,905.88,38013.0625
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,29,00,55.5,1028.68,23340.125
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,29,06,55.5,707.24,11021.375
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,29,12,55.5,381.13,8659.5
NA,North Atlantic,TD,Tropical Depression,AL012018,2018,05,29,18,55.5,624.64,11898.5625
NA,North Atlantic,TD,Tropical Depression,AL012020,2020,05,16,18,55.5,685.06,19200.9375
NA,North Atlantic,TD,Tropical Depression,AL012022,2022,06,02,18,55.440000000000005,729.11,35782.070602600696
NA,North Atlantic,TD,Tropical Depression,AL012022,2022,06,03,00,55.440000000000005,931.53,36563.98413972062
NA,North Atlantic,TD,Tropical Depression,AL012024,2024,06,16,12,46.440000000000005,739.21,61231.56445231429
NA,North Atlantic,TD,Tropical Depression,AL012024,2024,06,16,18,46.440000000000005,923.92,60141.02993304009
NA,North Atlantic,TD,Tropical Depression,AL012024,2024,06,17,00,55.440000000000005,796.45,54707.30903505528
NA,North Atlantic,TD,Tropical Depression,AL012024,2024,06,17,06,55.440000000000005,795.26,74473.51340262801
NA,North Atlantic,TD,Tropical Depression,AL012024,2024,06,17,12,55.440000000000005,789.6,65533.778097972274
NA,North Atlantic,TD,Tropical Depression,AL022002,2002,08,04,18,46.25,391.36,9458.25
