basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TS,Tropical Storm,AL012012,2012,05,22,06,64.75,1127.97,17769.75
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,05,18,64.75,576.24,34013.3125
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,00,74.0,1015.99,44259.375
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,06,92.5,900.15,36909.6875
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,12,101.7,945.88,51037.875
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,06,18,101.7,941.99,55313.5
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,07,00,74.0,874.44,37742.1875
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,07,06,74.0,825.63,29659.625
NA,North Atlantic,TS,Tropical Storm,AL012013,2013,06,07,12,74.0,774.52,17230.6875
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,01,12,64.75,566.21,9535.3125
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,01,18,74.0,458.27,8744.3125
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,02,00,83.25,737.97,8687.0625
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,02,06,92.5,474.85,8833.25
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,02,12,101.7,925.23,16344.4375
NA,North Atlantic,TS,Tropical Storm,AL012014,2014,07,02,18,111.0,911.34,11476.4375
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,07,06,64.75,875.81,15229.5625
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,07,12,74.0,638.42,19643.3125
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,07,18,74.0,654.08,13919.9375
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,08,00,74.0,612.56,7867.0625
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,08,06,74.0,375.94,2950.8125
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,08,12,74.0,208.42,4463.5625
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,08,18,83.25,477.44,5331.3125
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,09,00,92.5,433.05,5426.5
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,09,06,92.5,209.87,1910.25
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,09,12,92.5,246.18,3440.125
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,09,18,83.25,675.96,6677.25
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,10,00,83.25,554.83,5100.5625
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,10,06,74.0,152.61,3219.875
NA,North Atlantic,TS,Tropical Storm,AL012015,2015,05,10,12,64.75,307.29,8673.125
NA,North Atlantic,TS,Tropical Storm,AL012016,2016,01,07,00,74.0,873.47,33376.6875
