basin_code,basin,category,category_label,CT,yy,mm,dd,hh,MWS,Rp,accumulated_precipitation_mm
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,09,06,92.5,807.61,33072.5
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,09,12,83.25,798.47,27043.6875
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,09,18,74.0,401.92,5607.25
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,10,00,74.0,344.96,3388.75
NA,North Atlantic,TS,Tropical Storm,AL012007,2007,05,10,06,64.75,278.04,4340.0625
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,10,12,55.5,622.8,3481.0625
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,10,18,55.5,727.0,3231.8125
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,11,00,55.5,820.04,2784.5
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,11,06,55.5,872.41,4554.25
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,11,12,46.25,91.52,161.375
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,11,18,46.25,276.93,1219.9375
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,12,00,46.25,162.14,335.125
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,12,06,46.25,260.32,4982.75
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,12,12,46.25,390.65,7224.1875
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,12,18,46.25,379.34,2959.75
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,13,00,46.25,770.57,8370.5625
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,13,06,46.25,731.96,5985.6875
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,13,12,46.25,534.4,6518.8125
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,13,18,46.25,702.25,13561.625
NA,North Atlantic,TD,Tropical Depression,AL012007,2007,05,14,00,46.25,712.73,26218.4375
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,05,31,00,64.75,803.98,32666.5625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,05,31,06,74.0,806.19,34008.0625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,05,31,12,64.75,829.29,37386.625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,05,31,18,64.75,899.86,46850.4375
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,06,01,00,64.75,788.22,39405.625
NA,North Atlantic,TS,Tropical Storm,AL012008,2008,06,01,06,64.75,719.22,38226.125
NA,North Atlantic,TD,Tropical Depression,AL012008,2008,06,01,12,55.5,800.64,40253.6875
NA,North Atlantic,TD,Tropical Depression,AL012008,2008,06,01,18,55.5,800.31,48519.125
NA,North Atlantic,TD,Tropical Depression,AL012008,2008,06,02,00,46.25,744.42,50489.375
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,26,18,46.25,841.84,21667.8125
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,27,00,46.25,860.91,8770.25
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,27,06,46.25,696.02,8915.4375
NA,North Atlantic,TD,Tropical Depression,AL012009,2009,05,27,12,46.25,774.98,11167.0625
